"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
1.616260277E2	5.031233984E1	7.606985830E0	9.094370539E1	1.431999969E1	3.143999939E2	1.500000000E0	1.000000000E2
1.626278933E2	5.031243795E1	7.606842751E0	9.094380688E1	1.522999954E1	3.201000061E2	1.500000000E0	1.000000000E2
1.635971650E2	5.031254553E1	7.606694726E0	8.994391726E1	1.606999969E1	3.191000061E2	1.500000000E0	1.000000000E2
1.646156140E2	5.031264666E1	7.606545445E0	8.994402208E1	1.528999996E1	3.151000061E2	1.500000000E0	1.000000000E2
1.656052019E2	5.031274355E1	7.606388619E0	8.994412396E1	1.498999977E1	3.112000122E2	1.500000000E0	1.000000000E2
1.666465855E2	5.031283752E1	7.606230872E0	8.894422335E1	1.547999954E1	3.117999878E2	1.500000000E0	1.000000000E2
1.676315319E2	5.031293261E1	7.606066586E0	8.894432443E1	1.557999992E1	3.138999939E2	1.500000000E0	1.000000000E2
1.686217025E2	5.031303005E1	7.605911018E0	8.894442669E1	1.568999958E1	3.148999939E2	1.500000000E0	1.000000000E2
1.696259411E2	5.031313235E1	7.605757043E0	8.894453307E1	1.582999992E1	3.162000122E2	1.000000000E0	1.000000000E2
1.706404002E2	5.031323918E1	7.605606923E0	8.894464306E1	1.597999954E1	3.177999878E2	1.500000000E0	1.000000000E2
1.716423440E2	5.031334869E1	7.605462335E0	8.894475485E1	1.609000015E1	3.192999878E2	1.000000000E0	1.000000000E2
1.726253151E2	5.031346105E1	7.605320849E0	8.794486884E1	1.588000011E1	3.203999939E2	1.000000000E0	1.000000000E2
1.736333209E2	5.031357449E1	7.605184894E0	8.794498322E1	1.559999943E1	3.222000122E2	1.000000000E0	1.000000000E2
1.746519013E2	5.031368786E1	7.605050700E0	8.794509735E1	1.550999928E1	3.228999939E2	1.500000000E0	1.000000000E2
1.756349838E2	5.031380244E1	7.604920948E0	8.794521210E1	1.563999939E1	3.242999878E2	1.000000000E0	1.000000000E2
1.766368912E2	5.031391396E1	7.604792286E0	8.694532404E1	1.563000011E1	3.252000122E2	1.000000000E0	1.000000000E2
1.776277740E2	5.031402955E1	7.604670916E0	8.694543882E1	1.563999939E1	3.265000000E2	1.000000000E0	1.000000000E2
1.786469049E2	5.031415109E1	7.604554910E0	8.694555830E1	1.571000004E1	3.285000000E2	1.500000000E0	1.000000000E2
1.796397027E2	5.031427271E1	7.604443347E0	8.594567739E1	1.567999935E1	3.293999939E2	1.500000000E0	1.000000000E2
1.806426501E2	5.031439450E1	7.604332455E0	8.594579657E1	1.564999962E1	3.297000122E2	1.500000000E0	1.000000000E2
1.816217170E2	5.031451662E1	7.604222484E0	8.594591596E1	1.568999958E1	3.312999878E2	1.500000000E0	1.000000000E2
1.826162484E2	5.031463786E1	7.604117962E0	8.494603400E1	1.546999931E1	3.323999939E2	1.500000000E0	1.000000000E2
1.836187463E2	5.031475739E1	7.604017714E0	8.494615009E1	1.531999969E1	3.333999939E2	1.500000000E0	1.000000000E2
1.846311845E2	5.031487386E1	7.603920233E0	8.494626319E1	1.544999981E1	3.346000061E2	1.000000000E0	1.000000000E2
1.856330914E2	5.031499741E1	7.603823422E0	8.494638248E1	1.538999939E1	3.350000000E2	1.000000000E0	1.000000000E2
1.865852276E2	5.031512167E1	7.603734909E0	8.494650154E1	1.544999981E1	3.363999939E2	1.000000000E0	1.000000000E2
1.875951104E2	5.031524564E1	7.603645893E0	8.494662039E1	1.548999977E1	3.368999939E2	1.500000000E0	1.000000000E2
1.886195734E2	5.031536868E1	7.603557967E0	8.494673833E1	1.546999931E1	3.377000122E2	1.500000000E0	1.000000000E2
1.895888641E2	5.031549454E1	7.603479847E0	8.594685772E1	1.538999939E1	3.388999939E2	1.500000000E0	1.000000000E2
1.906366158E2	5.031562140E1	7.603403740E0	8.594697779E1	1.525999928E1	3.401000061E2	1.500000000E0	1.000000000E2
1.916157950E2	5.031574939E1	7.603328554E0	8.694709877E1	1.519999981E1	3.401000061E2	1.500000000E0	1.000000000E2
1.926259366E2	5.031587441E1	7.603254458E0	8.694721702E1	1.519999981E1	3.403999939E2	1.500000000E0	1.000000000E2
1.936300152E2	5.031600265E1	7.603180613E0	8.694733809E1	1.511999989E1	3.407000122E2	1.500000000E0	1.000000000E2
1.946158249E2	5.031613156E1	7.603114061E0	8.694745899E1	1.517000008E1	3.411000061E2	1.500000000E0	1.000000000E2
1.956241393E2	5.031626027E1	7.603048766E0	8.794757958E1	1.519999981E1	3.422000122E2	1.500000000E0	1.000000000E2
1.966259296E2	5.031639245E1	7.602985734E0	8.794770301E1	1.517999935E1	3.427000122E2	1.500000000E0	1.000000000E2
1.976371959E2	5.031652497E1	7.602924295E0	8.794782657E1	1.510999966E1	3.427000122E2	1.000000000E0	1.000000000E2
1.986336090E2	5.031665543E1	7.602863861E0	8.794794822E1	1.497999954E1	3.428999939E2	1.500000000E0	1.000000000E2
1.996170730E2	5.031678787E1	7.602807116E0	8.794807122E1	1.498999977E1	3.437999878E2	1.000000000E0	1.000000000E2
2.006249303E2	5.031692068E1	7.602753388E0	8.794819425E1	1.522999954E1	3.446000061E2	1.500000000E0	1.000000000E2
2.016306147E2	5.031705382E1	7.602698319E0	8.794831771E1	1.522999954E1	3.451000061E2	1.500000000E0	1.000000000E2
2.026220627E2	5.031718722E1	7.602641992E0	8.894844153E1	1.522999954E1	3.456000061E2	1.500000000E0	1.000000000E2
2.036141050E2	5.031732121E1	7.602587426E0	8.894856569E1	1.513999939E1	3.460000000E2	1.500000000E0	1.000000000E2
2.046215083E2	5.031745519E1	7.602534369E0	8.894868970E1	1.523999977E1	3.466000061E2	1.500000000E0	1.000000000E2
2.056246534E2	5.031759286E1	7.602486592E0	8.894881641E1	1.525999928E1	3.468999939E2	1.000000000E0	1.000000000E2
